ID 	Autumn temperature(℃)	Spring temperature(℃)	Summer temperature(℃)	Winter temperature(℃)	Autumn precipitation(mm)	Spring precipitation(mm)	Summer precipitation(mm)	Winter precipitation(mm) 	Autumn radiation(MJ/m2)	Spring radiation(MJ/m2)	Summer radiation(MJ/m2)	Winter radiation(MJ/m2)	Silt(%)	sand(%)	clay(%)	Aspect (°)	DEM(m)	Slope (°)	pH	SOM (g/kg)	SR(no per m2)
1	1,48686158657074	0,835040271282196	10,289379119873	-8,54442024230957	57,1107635498047	61,3913879394531	281,653686523438	2,31063842773438	1518,22412109375	1888,11047363281	1910,57800292969	1159,32763671875	24	63	13	6	4567	0,5626796	7,479	2,376	8
2	1,42927539348602	0,855552554130554	10,2268753051758	-8,60616970062256	62,4302215576172	72,3922348022461	303,296417236328	3,01909589767456	1506,22119140625	1846,44750976562	1893,11572265625	1145,32080078125	32	47	21	5	4601	1,0374498	6,558	8,022	12
3	1,25193226337433	0,666319787502289	10,0643873214722	-8,78425598144531	63,360279083252	71,8416442871094	304,825103759766	2,98789048194885	1505,13806152344	1844,61694335938	1892,51391601562	1144,765625	32	47	21	3	4597	1,7609677	6,558	17,56	20
4	0,883845269680023	0,22778956592083	9,72592735290527	-9,15490245819092	62,6647758483887	66,9694213867188	297,179534912109	2,59079456329346	1509,86401367188	1861,52062988281	1899,11889648438	1151,78466796875	32	47	21	5	4651	1,4409055	7,944	8,022	17
5	1,48686158657074	0,835040271282196	10,289379119873	-8,54442024230957	57,1107635498047	61,3913879394531	281,653686523438	2,31063842773438	1518,22412109375	1888,11047363281	1910,57800292969	1159,32763671875	24	63	13	6	4567	0,5626796	7,479	2,376	9
6	-0,841861486434937	-2,77288246154785	6,67470598220825	-12,2243852615356	95,0266494750977	80,927848815918	385,278625488281	6,04862594604492	1473,82495117188	1809,92749023438	1823,42358398438	1142,62182617188	32	47	21	6	4713	2,7659559	6,558	8,022	20
7	0,871291816234589	-0,372238636016846	9,80412197113037	-8,69633293151855	114,731544494629	62,5029029846191	301,507049560547	5,70886898040771	1483,48852539062	1899,20910644531	1853,11584472656	1189,50622558594	24	63	13	7	4569	0,1125394	7,479	2,376	10
8	1,61666667461395	-0,303333342075348	9,60666656494141	-7,17333364486694	135,599990844727	96,7299957275391	348,309997558594	5,30999994277954	1448,63000488281	1789,48999023438	1799,13989257812	1195,4599609375	24	63	13	4	4575	0,656184	7,479	2,376	14
9	0,871291816234589	-0,372238636016846	9,80412197113037	-8,69633293151855	114,731544494629	62,5029029846191	301,507049560547	5,70886898040771	1483,48852539062	1899,20910644531	1853,11584472656	1189,50622558594	24	63	13	7	4569	0,1125394	7,479	2,376	9
10	1,12402594089508	0,562007427215576	10,4412899017334	-8,04593849182129	60,9587173461914	79,7046890258789	317,768249511719	19,7371730804443	1500,17102050781	1770,25903320312	1900,31274414062	1210,337890625	32	47	21	4	4527	3,5293424	6,558	8,022	12
11	1,12402594089508	0,562007427215576	10,4412899017334	-8,04593849182129	60,9587173461914	79,7046890258789	317,768249511719	19,7371730804443	1500,17102050781	1770,25903320312	1900,31274414062	1210,337890625	32	47	21	4	4527	3,5293424	6,558	8,022	12
12	0,883845269680023	0,22778956592083	9,72592735290527	-9,15490245819092	62,6647758483887	66,9694213867188	297,179534912109	2,59079456329346	1509,86401367188	1861,52062988281	1899,11889648438	1151,78466796875	32	47	21	5	4651	1,4409055	7,944	8,022	19
13	3,41000008583069	2,11999988555908	10,9633331298828	-7,42666673660278	52,4900016784668	83,8899993896484	347,070007324219	7,63000011444092	1534,01000976562	1753,35009765625	1802,90002441406	1186,52001953125	32	47	21	5	4463	3,1996014	7,314	3,779	16
14	2,27407479286194	1,76898527145386	10,9104843139648	-7,74094915390015	57,9446487426758	75,7196273803711	297,280517578125	3,29964876174927	1518,69848632812	1862,26049804688	1896,15405273438	1157,03662109375	32	47	21	7	4563	4,7702227	6,558	8,022	21
15	1,81715595722198	1,34869575500488	11,0104141235352	-7,3205041885376	64,8127136230469	80,6653289794922	323,269012451172	20,0011501312256	1493,66418457031	1759,70825195312	1885,50671386719	1208,49060058594	32	47	21	5	4463	3,1996014	7,314	3,779	15
